Gaelg
*Greetings|Bannaghtyn
It's bloody hot!|T'eh cha cheh as niurin!
The thermometer stood at ninety degrees.|Va kiare feed keim as jeih dy hiass ayn.
How warm it is!|Cre cha cheh as te! Nagh cheh eh!
This is the warmest spring I can remember.| Shoh yn arragh s'choe dy voddym cooinaghtyn.
It's very close.|T'eh feer vreen.
The day is very sultry.|Ta'n laa feer vreenagh.
There is not a breath of air stirring.|Cha nel geay erbee ayn.
There's not a breath of air.|Cha nel ennal aer ayn.
**Cold and Snow|Feayr as Sniaghtey
It is cold here.|T'eh feayr ayns shoh.
It is cold.|T'eh feayr.
It was deadly cold.|V'eh cho feayr as Niurin.
It was confoundedly cold.|V'eh feayr agglagh.
Driven snow.|Sniaghtey sheebit.
Covered with snow.|Coodit lesh sniaghtey.
The snow is drifting.|Ta'n sniaghtey sheebey.
Fall of snow.|Ceau sniaghtee.
The weather is on the cool side.|T'eh red beg feayr.
It's frosty today.|Ta eean y ghob jiarg mooie jiu.
Fourteen degrees below freezing point.|Kiare keimyn jeig fo point rio.
I'm afraid it will snow.|Ta aggle orrym dy bee sniaghtey ain.
It is snowing hard.|T'eh ceau sniaghtey dy trome.
It is snowing.|T'eh ceau sniaghtey.
It is snowing hard.|T'eh deayrtey sniaghtey.
Snowstorm.|Sterrym sniaghtee.
Soft snow falling.|Sniaghtey floagagh.
Shower of snow.|Frass sniaghtee.
There has been a heavy fall of snow.|Ta ram sniaghtey er ve ceaut.
There is snow on the ben.|Ta sniaghtey er y veinn.
The snow is melting.|Ta'n sniaghtey tenniu.
The snow lies very deep.|Ta'n sniaghtey ny lhie feer dowin.
It is turning cold.|T'eh feayraghey.
It is becoming colder.|T'eh goll ny s'feayrey.
It's terribly cold.|Te feayr atchimagh.
It is sleeting now.|T'eh ceau sniaghtey fliugh nish.
Jack Frost is out today.| Ta Eean y ghob jiarg mooie jiu.
It's snowing in great flakes.|Ta floagyn sniaghtee mooarey ayn.
Frosty weather.|Emshir rioeeagh.
Long spell of cold weather.|Shayll liauyr jeh emshir feayr.
It is so cold that you can see your breaths.|T'eh cha feayr dy vod oo fakin nyn ghruightys.
I wish that the winter were already over.|Saillym dy beagh yn geurey hannah harrish.
I have been longing for the spring.|Ta mee er ve goaill foddeeaght ny yei yn arragh.
I fear we shall have cold weather after this.|Ta aggle orrym dy bee emshir feayr ain ny lurg shoh.
It's thawing.|Te tenniu.
It will freeze tonight.|Bee rio ayn noght.
It is freezing hard.|Ta rio trome ayn.
It is freezing hard.|T'eh riojey dy creoi.
Cold front.|Breid feayr.
Cold winter.|Geurey creoi.
Cold snap.|Tammylt feayr.
How cold it is!|Nagh feayr eh!
It is pleasantly cold.|T'eh follan-feayr.
**Wind|Geay
It's very gusty to-day.|Te feer chlabbinagh jiu.
It is very windy.|Ta ram geay ayn.
It is very windy.|T'eh feer gharroo.
It is windier today than yesterday.|Ta ny smoo geay ayn jiu na v'ayn jea.
The wind is settling in the east.|Ta'n gheay tannaghtyn 'sy niar.
The wind is rising.|Ta'n gheay troggal.
The wind is in the west.|Ta'n gheay heear.
The wind is singing.|Ta'n gheay cronnaney.
The wind is veering.|Ta'n gheay goll seose.
The wind is turning.|Ta'n gheay garraghey.
The wind is in the north-east.|Ta geay niar hwoaie ayn.
The wind is down.|Ta'n gheay er duittym.
The wind is blowing in at the window.|Ta'n gheay cheet stiagh er yn uinnag.
The wind is backing.|Ta'n gheay goll sheese.
The wind is getting up.|Ta'n gheay gyrjaghey.
The wind is in the north.|Geay hwoaie t'ayn.
The wind kept the rain off.|Dimman yn gheay y fliaghey ersooyl.
The wind has changed.|Ta'n gheay er chaghlaa.
It's very windy.|Te feer gheayagh.
Biting wind.|Geay fannee.
Windy weather with a choppy sea.|Earish ghloankagh.
Dry, scorching, blighting wind.|Lomman.
Dry, scorching, blighting wind.|Geay fowanagh.
Full gale.|Congheay.
Strong wind.|Skah.
Strong wind.|Geay vooar.
Fair wind.|Cair vie.
Raw winds.|Lommanyn.
Raw winds.|Geayghyn fannee.
Rough wind.|Geay gharroo.
**Clouds|Bodjallyn
It is partly cloudy.|T'eh breckvodjallagh.
The weather is cloudy.|Ta'n emshir bodjallagh.
It is beclouding.|Ta mooirjeenys er y speyr.
It is growing cloudy.|T'eh moorjeeney.
Clouds on the skyline.|Bodjallyn er yn annys.
Clouds hid the sun.|Haink bodjallyn er y ghrian.
The sky is getting cloudy.|T'eh mooirjeenagh.
The sky is getting cloudy.|T'eh curthooillaghey.
It's cloudy.|Te bodjallagh.
It's very cloudy.|Te feer vodjallagh.
**Fog|Kay
It's foggy.|Te froughagh.
It's foggy.|Ta kay ayn.
Heavy fog.|Kay chiu.
Foggy day.|Laa kayeeagh.
The fog persisted.|Va'n kay foast ayn.
The fog persisted.|Hannee yn kay.
The fog is lifting.|Ta'n frough girree.
Dewy fog rising from the earth.|Kay ghruightoilagh veih'n ooir girree seose.
Fog blankets the airport.|Ta kay coodaghey yn aerphurt.


*Proverbs|Raaghyn creeney
You cannot make a silk purse out of a sow's ear.|S'doillee eh dy gheddyn ollan voish goayr.
Work without order, work without thanks.|Obbyr gyn oardagh, obbyr gyn bwooise.
Worry kills people quicker than work.|Ta boirey marroo sleih ny s'tappee na obbyr.
A man's own praise never went far from his door.|Cha jagh moylley ghooinney hene rieau foddey voish.
A liar is not to be believed even if he tells the truth.|Cha vel breagerey dy ve credjit ga dy vel eh ginsh yn irriney.
A large heap is made from little stones.|Ta carn mooar jeant jeh claghyn beggey.
A friend's eye is a good mirror.|S'mie y scaane sooill charrey.
Country without language country without name.|Cheer gyn chengey, cheer gyn ennym.
A wise man often makes a friend of his enemy.|Ta dooinney creeney dy mennick jannoo carrey jeh e noid.
A small sin is sister to a great one.|Ta'n aghaue veg shuyr da'n aghaue vooar.
A man has his own will but a woman has her own way.|Ta aigney ec dooinney agh ta raad hene ec ben.
A trout in the hand is worth two in the pool.|Ta breck 'sy laue ny share na braddan 'sy lhingey.
A bird in the hand is as well as two in the bush.|Ta ushag 'sy laue chammah's jees 'sy thammag.
Your son is your son until marriage.|Ta dty vac dty vac gys poosey.
Your daughter is your daughter for ever.|Ta dty 'neen dty 'neen dy bra.
A new broom sweeps clean.|Ta skeab noa skeabey dy glen.
Bird in the hand is worth two in the bush.|Ta ushag 'sy laue chammah as jees 'sy thammag.
Birds of a feather flock together.|Ta enney ec muc er muc elley.
All is not gold that glitters.|Cha nel ooilley ta glistral airh.
Praise the bridge when you have crossed it.|Moyll yn droghad tra t'ou harrish.
A rolling stone gathers no moss.|Cha nel clagh rolley chaglym keynnagh erbee.
Between two stools the arse is on the floor.|Eddyr daa stoyl ta'n thoyn er y laare.
The better the day the better the deed.|Myr share yn laa share yn jannoo.
He who laughs to-day may weep tomorrow.|Eshyn ghearys jiu oddys keayney mairagh.
To carry coals to Newcastle.|Cur lesh skeddan gys Purt ny hinshey.
Carrying coals to Newcastle.|Slaa smarrey er thoyn vuc roauyr.
Carrying coals to Newcastle.|Slaa sahll er thoyn muc roauyr.
The malt is superior to the wheat.|Ta'n vraih erskyn y churnaght.
He who catches most will have most.|Eshyn smoo hayrys smoo vees echey.
No herring no wedding.|Gyn skeddan gyn bannish.
To run with the hare and hunt with the hounds|Roie marish y waagh as shelg marish ny coin.
As straight as the backbone of the herring.| Cha jeeragh as craue-drommey yn skeddan.
A good name is better than riches.|Ta ennym mie ny share na berchys.
One good turn deserves another.|Ta derrey turn mie toilchin turn elley.
An idle hand will get nothing.|Cha vow laue ny haaue veg.
He was born with a silver spoon in his mouth.|Rug eh lesh spain argid ny veeal.
A friend with you is better than a brother far away.|Ta carrey liorts ny share na braar foddey jeh.
New brooms sweep clean.|Ta skeabyn noa skeabey glen.
To burn the candle at both ends.|Lostey yn chainle ec dagh chione.
Drink tells upon you in time.|Faagee yn jough e cowrey ort lurg tammylt.
Better to go to bed supperless than to get up in debt.|Share goll dy lhie fegooish shibbyr na girree ayns lhiastynys.
Better to change horses in mid ford than to drown.|Share chyndaa cabbil ayns mean ny h-aah na goll er vaih.
Fine feathers make fine birds.|Fedjagyn aalin ushagyn aalin.
It's an ill wind that blows nobody good.|She drogh gheay nagh sheid mie da pagh ennagh.
Never look a gift horse in the mouth.|Ny fow foill ayns red hooar oo nastee.
To take the wind out of his sails.|Dy ghoaill yn gheay ass e hiauill.
When you're well, you little know the value of health.|Tra ta fer slane; s'beg shione da feeuid slaynt.
Charity begins at home.|Ta giastyllys goaill toshiaght ec y thie.
Whoever seeks a friend without fault will never find him.|Quoi erbee ta shirrey carrey fegooish foill cha jean eh.
Silence gives consent.|Ta tostid coyrt cochoardailys.
The boy is father to the man.|Ta'n guilley ayr da'n dooinney.
The bigger the company, the merrier the play.| Myr smoo yn cheshaght s'reaie yn cloie.
The smaller the company, the bigger share.|Myr sloo yn cheshaght smoo yn ayrn.
Let every pig dig for herself.|Lhig da dagh ooilley vuc reuyrey j'ee hene.
Let every bird hatch her own eggs.|Lhig da dagh ooilley ushag guirr e hoohyn hene.
The crab which is always in its hole is never fat.|Yn partan ta dy-kinjagh 'sy towl echey cha vel eh rieau roauyr.
Experience is the best sense unless bought too dearly.|Ta keeall chionnit share, mannagh vel ee kionnit ro gheyr.
Distance lends enchantment to the view.|Cronk glass foddey jeh; lhome, lhome, tra roshym eh.
The hare waits for his mate.|Fuirree yn mwaagh rish e heshey.
Tell me not what I was but tell me what I am.|Ny insh dou ny va mee agh insh dou ny ta mee.
Give a piece to the raven and he'll come again.| Cur meer da'n feeagh as hig eh reesht.
To thee as thou deservest.|Lhiat myr hoilliu.
Let every bird hatch its own eggs.|Lhig da dy-chooilley ushag guirr e hoohyn hene.
When one poor man helps the other poor man, God Himself smiles.|Tra ta'n derrey voght cooney lesh y voght elley, ta Jee hene garaghtee.
Make hay while the sun shines.|Jean traagh choud as ta'n ghrian soilshean.
Keeping the bone green.|Freayll y craue glass.
Feast or famine.|Gien nonney gortey.
He'll suffer the scoff if he gets the lot.|Surree eh yn flout my yiow eh yn glout.
Let every pig dig for itself.|Lhig da dy-chooilley vuc reuyrey jee hene.
Going to the goat's house for wool.|Goll gys thie yn goair dy hirrey ollan.
There is gold on cushags there.|Ta airh er cushagyn ayns shen.
A Manxman is never wise until the day after the market.|Cha nel Manninagh rieau creeney derrey'n laa lurg y vargee.
As black as the raven is he'll find a mate.|Myr s'doo yn feeagh yiow eh sheshey.
A kind heart is better than a crafty head.|Ta cree dooie ny share na kione croutagh.
Any parson has the lust of seven farmers.|Ta saynt shiaght eirinee ayns saggyrt erbee.
It's a day's work beginning, a lifetime's work finishing.|She obbyr laa toshiaghey, obbyr vea cur jerrey er.
A man without children has the lust of seven parsons.|Ta saynt shiaght saggyrt ayns dooinney gyn cloan.
Every man knows where his shoe hurts him.|Ta fys ec dagh ooilley ghooinney c'raad ta'n vraag gortaghey.
Hunger breaks through stone walls.|Brishee accyrys trooid boallaghyn cloaie.
If custom beget not custom, custom will weep.|Mannagh vow cliaghtey cliaghtey, nee cliaghtey coe.
Blood is thicker than water.|Ta fuill ny s'chee na ushtey.
Bitterer are the tears that do not fall.|Ny sherriu ny jeirnyn dyn tuittym.
There is none so deaf as he that will not hear.|Cha vel fer erbee cha bouyr as eshyn nagh jean clashtyn.
There are many notes in the wedding tune.|Ta lane clinkyn ayns car y phoosee.
Don't marry an heiress unless her father has been hanged.|Ny poose eirey-inneen ny slooid ny ta'n ayr eck er ve croghit.
To buy a pig in a poke.|Kionnagh muc ayns poagey.
Every bird likes its own nest best.|Share s'laik lesh dagh ushag e hedd hene.
Out of the frying pan into the fire.|Ass y phanney ayns yn aile.
His bark is worse than his bite.|Ta e ghounstyrnee ny smessey na'n ghreim echey.
Every dog has his day.|Ta laa echey hene da dagh ooilley voddey.
Death never came without an excuse.|Cha daink rieau yn baase gyn leshtal.
A burnt child dreads the fire.|Ta lhiannoo scoaldit goaill aggle roishyn aile.
God lays on you no burden greater than you can bear.|Cha vel Jee cur ort errey ny smoo na foddee oo ymmyrkey.
He lets people ride over him.|T'eh lhiggey da sleih markiagh harrish.
They are alike as two peas.|T'ad cha colaik as daa phishyr.
Judge others by yourself.|Briwnys feallagh elley liort hene.
When the cats are away the mice will play.|Tra ta ny kiyt ersooyl nee ny lughee cloie.
To ride the high horse.|Markiagh er cabbyl ard.
One swallow does not make a summer.|Cha jean un gollan-geayee sourey.
It's a poor fox that has but one hole.|She shynnagh boght nagh vel ny smoo na un towl echey.
To spoil the ship for a ha'porth of tar.|Milley yn lhong son feeagh-lhieng dy herr.
When the cat is away the mice will play.|Tra vees yn kayt mooie bee ny lughee daunsin.
When the hand ceases to give, the mouth ceases to praise.|Tra scuirrys y laue dy choyrt, scuirrys y veeal dy voylley.
When the play is merriest it is better to leave off.|Tra s'reaie yn cloie share faagail eh.
When the wind is in the trees you will get the lockman.|Tra ta'n gheay 'sy villey, yiow shiu yn guilley gless.
All's well that ends well.|Ta ooilley dy mie ta jannoo jerrey dy mie.
If you chase two hares you will catch neither.|My chloys oo daa waagh cha dayr oo unnane jeu.
When you are in Rome you must do as Romans do.| Tra t'ou ayns y Raue shegin dhyt jannoo myr ta ny Romanee jannoo.
Might means right.|Ta niart erskyn kiart.
Treat a fool according to his folly.|Dell rish ommidan coardail rish e ommijys.
A stitch in time saves nine.|Ta greim ayns traa cooie sauail nuy.
He is penny-wise and pound-foolish.|T'eh ping-chreeney as punt-ommijagh.
The pitcher goes once too often to the well.|Ta'n cruishtin goll keayrt ro vennick dys y chibbyr.
To build castles in the air.|Troggal cashtallyn 'syn aer.
There are two sides to every question.|Ta daa lhiattee er dagh feysht.
The pot is calling the kettle black.|Yn oghe g'yllagh toyn losht da'n aiee.
As you make your bed, so must you lie.|Myr t'ou kiartagh dty lhiabbee myr shen shegin dhyt lhie.
To seek a needle in a haystack.|Shirrey son snaid ayns creagh-traagh.
To quarrel about trifles.|Tuittym magh mysh veg.
To be as neat as a pin.|Ve cha jesh as freeney.
To fall into a snare.|Tuittym ayns ribbey.
To put the cart before the horse.|Cur yn cart roish y chabbyl.
Everything has its use.|Ta dy-chooilley red as e ymmyd echey.
There's no rose without a thorn.|Cha nel rose erbee fegooish jolg.
To throw pearls before swine.|Ceau pearlyn roish mucyn.
He that would have the kernal must crack the nut.|Eshyn vees y cree echey, shegin da brishey yn cro.
Insult added to injury.|Faghid er skielley.
Give everyone his due.|Cur da ooilley nyn gair.
To sail with the wind.|Shiaulley lesh y gheay.
To lay something by for a rainy day.|Cur red ennagh ersooyl cour laa fliaghee.
You won't make me believe that.|Cha greidym shen dy-bragh.
Offered wares were never good.|Cha row rieau cooid chebbit mie.
One dog's death is another dog's life.|Baase yn derrey voddey, grayse y voddey elley.
One can't get blood out of a stone.|S'doillee eh geddyn ollan voish goayr.
One must take the horns with the hide.|Shegin goaill ny heairkyn marish y cheh.
One is very brave to believe a dumb messenger.|T'eh feer ghunnal chredjys chaghter balloo.
The nearer to the night the more rogues.|Myr s'niessey da'n oie s'lhee mitchooryn.
The chicken is like its kind before there is down on its head.|Ta'n eean myr e ghooie my vel clooie er e chione.
If there is an amble in the mare it will be in the colt.|My ta keim sy laair bee keim sy lhiy.
Every man knows where the shoe pinches him.|Ta fys ec dy-chooilley ghooinney raad ta'n vraag gortagh eh.
Short courting is the best courting.|Sooree ghiare yn tooree share.
A bad reaper never got a good sickle.|Cha dooar rieau drogh veaynee corran mie.
A bad bush is better than an open field.|Ta drogh hammag ny share na magher foshlit.
A silent tongue is preferable to speaking evil.|Ta chengey ny host ny share na olk y ghra.
Plenty never felt for want.|Cha dennee rieau yn soogh y shang.
Work without request is work without|Obbyr dyn shirrey, obbyr
One call to food and two to work.|Un eam gys bee as jees gys obbyr.
When the day comes its counsel will come with it.|Tra hig yn laa hig yn choyrle lesh.
Well begun is half done.|Ta toshiagh vie, lieh ny hobbyr.
Lawyers grow fat on the pennies of fools.|Ta turneyryn gaase roauyr er pingyn yn ommidan.
Thou wouldst fain be numbered with the flock but thy bleat is the bleat of the goats.|S'laik lhiat ve marish y chioltane agh ta'n eamagh ayd eamagh ny goair.
A wise man often makes a friend of his enemy.| Ta'n dooinney creeney mennick jannoo carrey jeh e noid.
You are as impudent as a white stone.|T'ou cha daaney as clagh vane.
Shameful leavings are worse than scandalous eating.|Ta fooillaght neareydagh ny smessey na ee scammyltagh.
From hand to mouth.|Voish y laue gys y veeal.
Bought wit is the best, if it be not bought too dear.|Keeal chionnit yn keeal share, mannagh vel ee kionnit ro gheyr.
A few good cows have had bad calves.|Ta booa vie ny ghaa agh drogh lheiy eck.
As poor as a church mouse.|Cha boght as lugh killagh.
As an enemy bind and a friend you'll find.|Kiangle myr noid as yiow myr carrey.
When the hand ceases to give, the mouth ceases to praise.|Tra scuirrys y laue dy choyrt, scuirrys yn beeal dy voylley.
Change of work is rest.|Caghlaa obbyr aash.
The nearer to the bone the sweeter the flesh.|Myr s'niessey da'n chraue s'miljey yn eill.
Learning is the stately clothing of the rich man and the riches of the dooinney poor man.|Ta ynsagh coamrey stoamey yn dooinney berchagh as berchys yn boght.
Learning is the richness of the poor man.|Ta ynsagh berchys yn dooinney boght.
A fool acknowledges praise and a wise man acknowledges faults.|Gowee bleb rish moylley as gowee dooinney creeney rish foill.
Where there is no fear there is no grace.|Raad nagh vel aggle cha vel grayse.
Hunger will break through stone walls.|Brishee accrys trooid boallaghyn cloaie.
Hunger is the best sauce.|S'mie yn sollagh yn accrys.
He who acknowledges no judge condemns himself.|Eshyn nagh gow rish briw erbee t'eh deyrey eh hene.
Eaten food is soon forgotten.|Ta bee eeit leah jarroodit.
He who hatches harm catches harm.|Eshyn ghuirrys skielley hayrys skielley.
Better the evil we know than the evil we know not.|Share yn olk shione dooin na'n olk nagh nhione dooin.
The rogue deceives you if he can.|Mollee yn molteyr oo my oddys eh.
When thy neighbour's house is on fire, take care of thy own house.|Tra ta thie dty naboo er aile, gow kiarail jeh dty hie hene.
There is much between saying and doing.|Ta lane eddyr raa as jannoo.
A bird in the hand is as good as two in he bush.|Ta ushag 'sy laue chammah as jees 'sy tammag.
Seldom is a hasty man out of trouble.|S'tiark ta dooinney siyragh ass seaghyn.
The more the haste the more hindrance.|Myr smoo siyr smoo cumrail.
Counting the chickens before the eggs are hatched.|Coontey ny hein roish ta ny hooyn guirt.
Soon ripe soon rotten.|Leah appee leah loau.
When the play is the merriest, 'tis better to leave off.| Tra s'reaie yn cloie share faagail jeh.
Praise the bridge as you go over it.|Moyll y droghad myr hed oo harrish.
There are two bad pays, paying before-hand and not paying at all.|Ta daa ghrogh eeck ayn, g'eeck ro laue as dyn eeck edyr.
'Tis better to go to bed without supper than to rise in debt.|Share goll dy lhie fegooish shibber na g'irree ayns lhiastynys.
Store is no sore.|Cha vel sonnys gonnys.
Many a little makes a mickle.|Ta daa pharick jannoo un ghimmagh.
Sweet to take but bitter to pay.|Millish dy ghoaill agh sharroo dy eeck.
Listen with each ear, then render judgement.|Eaisht lesh dagh cleaysh eisht jean briwnys.
There is much lost between the hand and the mouth.|Ta lane cailt eddyr y laue as y beeal.
It's not the cow that lows the most that gives the most milk.|Cha nee yn wooa smoo eieys smoo vlieaunys.
It is not he who has little that's poor but he who desires more.|Cha nee eshyn ta red beg echey ta boght agh eshyn ta geearree ny smoo.
Empty vessels make the most sound.|Siyn folmey smoo sheean nee.
Near is my shirt but nearer is my skin.|S'faggys my lheiney agh s'niessey my chrackan.
It does not become pride to do anything that needs an apology.|Cha vel eh cheet jesh da moyrn dy yannoo red erbee ta laccal leshtal.
Store miser and eat little mouse.|Tasht prughag as ee lughag.
A liar is not believed though he tells the truth.| Cha bee breagerey creidit ga dy n'insh eh yn irriney.
A big head with little wit and a little head without any at all.|Kione mooar er y veggan cheilley as kione beg gyn veg edyr.
He who lies with dogs rises with fleas.|Eshyn lhieys marish moddee irrys marish jarganyn.
Pride will have a fall.|Yiow moyrn lhieggey.
One must take the horns with the hide.|Shegin goaill ny eairkyn marish y cheh.
They are living a cat and dog life.|T'ad beaghey bwoalley er kayt as bwoalley er moddey.
Daubing grease on a fat pig's rump.|Slaa saill er toinn muc roauyr.
Throwing a bone into a bad dog's mouth.|Ceau craue ayns beeal drogh voddey.
A gentle fire makes sweet malt.|Ta aile meeley jannoo braih millish.
After spring tide comes neap tide.|Lurg roayrt hig contraie.
Maybe the last dog is catching the hare.|Foddee yn moddey s'jerree tayrtyn y mwaagh.
The death of one dog is the life of another.| Baase y derrey voddey bioys y voddey elley.
Wit is folly unless a wise man has it to keep.|Ta keeall ommijys ny slooid ny t'ee ec dooinney creeney dy reayll.
One scabby sheep spoils the whole flock.| Ta un cheyrrey screbbagh milley yn slane shioltane.
'Tis good to be bold, but evil to be too bold.|S'mie ve daaney agh s'olk ve ro ghaaney.
Every man for himself and God for all.|Dy-chooilley ghooinney er e hon hene as Jee son ooilley.
The black ox never trod on his own foot.|Cha stamp rieau yn dow doo er e chass.

*Learning|Ynsagh
I'm a top tweeter in my language!|She reih hweeteyr Gaelgagh mish!
I am learning Manx.|Ta mee gynsaghey Gaelg.
I know Manx very well.|Ta Gaelg feer vie aym.
I have a decent knowledge of Manx.|Ta fys mie dy liooar aym er y Ghaelg.
I have a smattering of Manx.|Ta breck-oallys jeh'n Ghaelg aym.
I never could understand Manx.|Cha ren mee rieau toiggal Gaelg dy mie.
The Manx comes more readily to me than the English.|Ta'n Ghaelg ny s'jeshey dou na'n Vaarle.
Being a Manxman I speak Manx.|Myr she Manninagh mish ta Gaelg aym.
Hang on to your Manx, boy!|Cum rish dty Ghaelg, lah!
Always speak Manx.|Loayr Gaelg dy-kinjagh.
I took you for a Manxman.|Heill mee dy re Manninagh oo.
It's a very useful language.|T'eh ny chengey feer ymmydoil.
We must often speak English.|Shegin dooin loayrt Baarle dy-mennick.
Express yourself in Manx.|Abbyr eh ayns Gaelg.
You have the correct accent.|Ta'n blass ayd.
You have a correct Manx accent.|Ta blass kiart ny Gaelgey ayd.
Speak Manx.|Loayr Gaelg.
I've never spoken Manx.|Cha nel mee rieau er loayrt Gaelg.
Let us only speak Manx.|Lhig dooin ynrican loayrt Gaelg.
She understands better than she speaks.|T'ee toiggal ny share na t'ee loayrt.
English is spoken everywhere.|Ta Baarle loayrit dy-chooilley raad.
I don't speak much Manx.|Cha nel mee taggloo monney Gaelg.
He speaks Manx pretty well.|T'eh loayrt Gaelg feer vie.
I write better than I speak.|Ta mee screeu ny share na ta mee loayrt.
That's not good grammar.|Cha nel shen rere y chengey.
I speak Manx every day.|Ta mee taggloo Gaelg dagh laa.
Yes, a little.|Ta, red beg.
Now, I know my lesson.|Nish ta oayll aym e my lessoon.
Thank you. I'll try to learn it in less time.|Gura mie eu. Eabym dy ynsagh eh ayns ny sloo dy hraa.
It's not difficult.|Cha nel eh doillee.
It's too difficult.|T'eh ro ghoillee.
It's very difficult.|T'eh feer doillee.
Buried under my books.|Follit fo ny lioaryn aym.
I find it difficult.|Ta mee feddyn eh doillee.
I don't understand the sentence.|Cha nel mee toiggal yn raa.
I don't understand that word.|Cha nel mee toiggal yn fockle shen.
I'll do my best.|Nee'm my chooid share.
It's the pronunciation that puzzles me.|She yn fockley-magh ta boirey mish.
Pronounce your words correctly.|Focklee magh nyn vocklyn dy-kiart.
The Manx language is not so easy to learn as some people imagine.|Cha nel y Ghaelg cha aashagh dy ynsagh myr ta sleih ennagh smooinaghtyn.
All languages are difficult to learn.|Ta ooilley chengaghyn doillee dy ynsagh.
If you speak slowly and distinctly I can understand you, but if you speak too fast I cannot understand you.|My loayrys shiu dy-moal as dy-baghtal foddym toiggal shiu, agh my loayrys shiu ro happee cha noddym toiggal shiu.
Put the story into Manx.|Chyndaa y skeeal ayns Gaelg.
Teaching through Manx.|Gynsagh trooid Gaelg.
Manx learned by ear.|Gaelg chleayshey.
Manx spoken here.|Ta gaelg goll er loayrt aynshoh.
Learn one page at least.|Ynsee un cheu ec y chooid sloo.
Learn these two pages by heart.|Ynsee yn daa heu shoh liorish cree.


*Commands|Annaghyn
Be cautious off it.|Cur twoaie da.
Be merciful.|Jean myghin er.
Calm yourself.|Gow greim jeed hene.
Change the subject!|Skeeal harrish!
Cheer up!|Trog dty chree!
Come and see me.|Tar lesh shilley orrym.
Come and see me.|Tar as cur shilley orrym.
Come and dine with me.|Tar as gow jinnair marym.
Come and see me anytime.|Tar lesh shilley orrym traa erbee.
Come over to me that I may see you.|Tar noal hym dy vaikym oo.
Come as quickly as ever you can.|Tar cha tappee as fod oo.
Come straight to the point.|Insh y bun jeeragh.
Drop over and see us.|Tar noal lesh shilley orrin.
Don't meddle with it.|Ny cur eie er.
Don't make a practice of drinking alone.|Ny gow dram gyn-yss.
Don't keep him waiting.|Ny cur fieau er.
Don't let this chance go by.|Ny lhig da'n chaa shoh scaapail.
Don't take it amiss.|Ny gow marran ass.
Don't stay overlong.|Ny jean tannaghtyn roud.
Don't talk like that.|Ny loayr myr shen.
Don't take that remark personally.|Ny sheil dy row hood hene yn raa shen.
Don't start a quarrel here now.|Ny jean troggal troddan ayns shoh nish.
Don't sleep so long.|Ny jean cadley choud.
Don't do it anywhere else.|Ny jean eh boayl erbee elley.
Don't cut me off.|Ny giar y linney.
Don't do it just yet.|Ny jean eh foast.
Don't do it just yet.|Ny jean eh kiart nish.
Don't exaggerate the story.|Ny cur beeal mooar er y skeeal.
Don't be so upset.|Ny bee lhied yn imnea ort.
Don't concern yourself with what doesn't concern you.|Yn red nagh benn rhyt ny benn rish.
Don't bring that up now.|Ny trog shen nish.
Don't breathe a word of it.|N'abbyr un 'ockle jeh.
Don't interfere with me and I won't interfere with you.|Ny cur eie orrym as cha derym eie ort.
Don't hurry.|Ny jean siyr.
Don't fret.|Ny gow ort.
Don't go and let on that I was there.|Nar insh dy row mish ayn.
Don't trouble to write.|Ny jean screeu hym.
Don't upset yourself.|Ny gow er.
Don't use such terms to me.|Ny loayr myr shen rhym.
Don't be so cut up about it.|Ny ghow ort wheesh my e chione.
Do it slowly.|Jean eh ass dt'aash.
Do it over again.|Jean reesht eh.
Do it without delay.|Jean chelleeragh eh.
Do it turn about.|Jean eh lieh my lieh.
Do it this way.|Jean my shoh eh.
Do it over again.|Jean ass y noa eh.
Do it in this manner.|Jean er y vod shoh eh.
Do it in turn.|Jean ayns shayllyn eh.
Do it on the quiet.|Jean eh gyn yss.
Do it like that.|Jean myr shen eh.
Do it just in case.|Jean eh er aggle ny haggle.
Do just as you like.|Jean dty reih hene.
Do not lead me astray.|Ny chur er shaghryn mee.
Do not laugh at me.|Ny gear orrym.
Do not speak.|Ny jean loayrt.
Do not speak.|Ny loayr.
Do not interrupt me.|Ny cur stiagh orrym.
Do me a favour.|Jean foayr dou.
Do not go.|Nagh immee.
Do not concern yourself with it.|Ny benn rish.
Do as well as you can.|Jean dty chooid share.
Do as you desire.|Jean myr saillt hene.
Do it by all means.|Jean eh er chor erbee.
Do it another time.|Jean eh keayrt elley.
Do it if you must.|Jean eh my shegin dhyt.
Do it for my sake.|Jean eh er my hons.
Do away with that nonsense.|Cur jerrey er y voghtynid shen.
Don't be afraid of me.|Ny gow aggle roym.
Don't be afraid of me.|Ny gow aggle rhym.
Don't be anxious.|Ny bee imneagh.
Don't be cross with me.|Ny bee corree rhym.
Forget about it.|Jarrood eh.
Give me the elements of it.|Cur dou yn bun jeh.
Give me the dope then.|Cur dou y bun myr te.
Give me the lowdown.|Insh dou yn bun.
Give me the chance.|Cur y caa dou.
Give me some space.|Cur reamys dou.
Go to bed.|Immee dy lhie.
Go to bed.|Immee dy chadley.
Hear me out.|Eaisht rhym.
Hold your head up.|Trog dty chione.


*Conversation|Coloayrtys
This remark is intended for you.|Hoods yn raa shoh.
Again, I am not sure of that.|Ny yei, cha nel mee shickyr jeh shen.
