Gaeilge
*Greetings|Beannachtaí
As fleet as a hare.|Chomh luath le giorria.
As foul-smelling as sewage.|Chomh bréan le camras.
As frisky as a kid.|Chomh héasca le meannán.
As full as an autumn frog.|Chomh líonta le frog fómhair.
As full as can be.|Chomh lán le mála píbe.
As gay as a youth.|Chomh haigeanta le buachaill óg.
As gentle as a lamb.|Chomh modhúil le huan caorach.
As gentle as an angel.|Chomh mánla le haingeal.
As green as grass.|Chomh glas le féar.
As green as holly.|Chomh glas le cuileann.
As green as springing corn.|Chomh glas le geamhar.
As grey as a badger.|Chomh liath le broc.
As grey as a mouse.|Chomh liath le luch.
As grey as the eagle.|Chomh liath leis an iolar.
As grey as the mist.|Chomh liath leis an gceo.
As hard as granite.|Chomh crua le cloch eibhir.
As hard as nails.|Chomh crua leis an iarann.
As hard as stone.|Chomh crua le cloch.
As healthy as a trout.|Chomh folláin le breac.
As idle as an ox at milking-time.|Chomh díomhaoin le damh san eadra.
As idle as a pedlar.|Chomh díomhaoin le bacach an mhála.
As idle as a piper's little finger.|Chomh díomhaoin le lúidín an phíobaire.
As innocent as a child.|Chomh soineanta le leanbh.
As innocent as a new-born babe.|Chomh soineanta leis an leanbh a rugadh aréir.
As jumpy as a flea.|Chomh luaineach le dreancaid.
As light as a feather.|Chomh héadrom le cleite.
As light as a sparrow.|Chomh héadrom le gealbhan.
As lively as a kid.|Chomh haerach le meannán.
As numerous as the sands on the sea-shore.|Chomh líonmhar le gaineamh na trá.
As old as the flood.|Chomh sean leis an díle.
As old as the hills.|Chomh sean leis an gceo.
As playful as a grasshopper.|Chomh meidhreach le dreoilín teaspaigh.
As playful as a month-old kid.|Chomh meidhreach le meannán míosa.
As playful as a young lamb.|Chomh meidhreach le huan óg.
As plentiful as grass.|Chomh fairsing le féar.
As plentiful as the sand on the sea-shore.|Chomh fairsing le gaineamh na trá.
As plentiful as turf.|Chomh fairsing le móin.
As poor as a church mouse.|Chomh bocht leis an deoir.
As poor as a church mouse.|Chomh daibhir le daol dubh.
As prickly as a hedgehog.|Chomh coilgneach le gráinneog.
As prickly as a hedgehog.|Chomh colgach le gráinneog.
As proud as a peacock.|Chomh leitheadach leis na cuacha.
As proud as Punch.|Chomh bródúil le cat a mbeadh póca air.
As red as a sparkle.|Chomh dearg le drithle.
As resplendent as the light of the sun.|Chomh dealraitheach le solas na gréine.
As round as a ball.|Chomh cruinn le liathróid.
As secret as the confessional.|Chomh discréideach le bosca na faoistine.
As slender as a greyhound.|Chomh caol le cú.
As slender as a rush.|Chomh caol le gáinne.
As slippery as an eel.|Chomh sleamhain le heascann.
As smooth as glass.|Chomh sleamhain le gloine.
As smooth as silk.|Chomh mín le síoda.
As soft as butter.|Chomh bog le him.
As solid as a rock.|Chomh buan le carraig.
As solid as a rock.|Chomh tacúil le carraig.
As spiteful as a weasel.|Chomh naimhdeach le heasóg.
As still as the grave.|Chomh ciúin leis an uaigh.
As straight as a ramrod.|Chomh díreach le slat ghunna.
As straight as a reed.|Chomh díreach le gáinne.
As straight as a rod.|Chomh díreach le slis.
As straight as a rush.|Chomh díreach le feag.
As strong as a horse.|Chomh láidir le capall.
As strong as Goll Mac Morna.|Chomh láidir le Goll mac Morna.
As sweet as honey.|Chomh milis le mil.
As taut as a bagpipe.|Chomh teann le mála an phíobaire.
As taut as a fiddle-string.|Chomh rite le bogha fidile.
As taut as a fiddle-string.|Chomh teann le téad fidile.
As thick as fern.|Chomh tiubh le raithneach.
As thin as a blade of grass.|Chomh caol le tráithnín.
As thin as an ivy-leaf.|Chomh tanaí le duilleog eidhinn.
As tight as a football.|Chomh teann le caid.
As timid as a rabbit.|Chomh faiteach le coinín.
As tough as a withe (of hardy person).|Chomh righin le gad.
As unappetizing as cliff grass.|Chomh tur le féar aille.
As vicious as a bag of weasels.|Chomh nimhneach le mála easóg.
As watertight as a bottle.|Chomh díonmhar le buidéal.
As weak as an ailing chick.|Chomh lag le héan i mbarrach.
As white as a sheet.|Chomh geal le lítis.
As white as a swan.|Chomh geal leis an eala.
As white as cotton-down.|Chomh geal le canach an tsléibhe.
As white as cotton-grass.|Chomh geal le ceannbhán.
As white as falling foam.|Chomh geal le cúr sceite.
As white as flax.|Chomh geal le táth lín.
As white as lime.|Chomh geal leis an aol.
As white as overnight snow.|Chomh geal le sneachta na haon oíche.
As wild as a deer.|Chomh fiáin le fia na mbeann.
